postal_code,segment_number,segment_description,average_household_income,average_household_net_worth,home_type
V8A 3B5,62,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","$95,199","$461,727",Single Detached / Low Rise Apt
V8A 4N2,58,"Older, middle-income town households | Old Town Roads is a segment of older couples and individuals living in Canada’s quaint small towns. Many are empty-nesters or widowed, predominantly residing in older single-detached homes, and earning middle incomes through blue-collar or agricultural work. These residents prioritize financial security as they approach or enter retirement. They enjoy time-honoured pastimes like fishing and gardening and have a strong appreciation for local events and music festivals. Traditional media remains central to their entertainment, with TV sports and classic rock or country music on the radio being favourites. Their lifestyle is defined by simplicity, familiarity, and strong ties to tradition.","$102,462","$486,393",Single Detached / Moveable
V8B 0A5,25,"Upper-middle income, younger and middle-aged suburbanites | Suburban Sports Enthusiasts represent a dynamic segment of younger and middle-aged families, predominantly residing in suburban single-detached homes across Canada. With a mix of educational backgrounds - many focused on trade schools - residents often work in service or blue-collar occupations, earning upper-middle incomes. This group frequently participates in sports like hockey and enjoys a range of outdoor hobbies, blending an active lifestyle with activities that suit all members of the family. They value stability and traditional norms, often showing resistance to rapid technological change. Their lifestyle is grounded in routine, hands-on engagement, and a strong commitment to family and local life.","$146,623","$916,822",Single Detached
V8B 0T5,,,,,
V8E 0B8,25,"Upper-middle income, younger and middle-aged suburbanites | Suburban Sports Enthusiasts represent a dynamic segment of younger and middle-aged families, predominantly residing in suburban single-detached homes across Canada. With a mix of educational backgrounds - many focused on trade schools - residents often work in service or blue-collar occupations, earning upper-middle incomes. This group frequently participates in sports like hockey and enjoys a range of outdoor hobbies, blending an active lifestyle with activities that suit all members of the family. They value stability and traditional norms, often showing resistance to rapid technological change. Their lifestyle is grounded in routine, hands-on engagement, and a strong commitment to family and local life.","$146,623","$916,822",Single Detached
V8E 0C5,25,"Upper-middle income, younger and middle-aged suburbanites | Suburban Sports Enthusiasts represent a dynamic segment of younger and middle-aged families, predominantly residing in suburban single-detached homes across Canada. With a mix of educational backgrounds - many focused on trade schools - residents often work in service or blue-collar occupations, earning upper-middle incomes. This group frequently participates in sports like hockey and enjoys a range of outdoor hobbies, blending an active lifestyle with activities that suit all members of the family. They value stability and traditional norms, often showing resistance to rapid technological change. Their lifestyle is grounded in routine, hands-on engagement, and a strong commitment to family and local life.","$146,623","$916,822",Single Detached
V8E 0G1,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","$134,144","$988,892",Low Rise Apt / Duplex / Semi
V8E 0G2,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","$134,144","$988,892",Low Rise Apt / Duplex / Semi
V8E 0G3,Unknown,,,,
V8E 0G5,25,"Upper-middle income, younger and middle-aged suburbanites | Suburban Sports Enthusiasts represent a dynamic segment of younger and middle-aged families, predominantly residing in suburban single-detached homes across Canada. With a mix of educational backgrounds - many focused on trade schools - residents often work in service or blue-collar occupations, earning upper-middle incomes. This group frequently participates in sports like hockey and enjoys a range of outdoor hobbies, blending an active lifestyle with activities that suit all members of the family. They value stability and traditional norms, often showing resistance to rapid technological change. Their lifestyle is grounded in routine, hands-on engagement, and a strong commitment to family and local life.","$146,623","$916,822",Single Detached
V8E 1A7,,,,,
V8J 2C5,37,"Middle-income town homeowners | Keep on Trucking is Canada’s most prosperous town segment, with residents living in various remote communities. Comprised of families and couples frequently employed in mining or the oil and gas industries, they earn upper-middle incomes and typically reside in older, affordable homes. This segment includes a high proportion of people of Indigenous origin - around 20 percent - and features a blend of longtime residents and newcomers drawn by employment opportunities in nearby industries. In their free time, residents enjoy outdoor recreational activities such as boating and camping, along with cherished hobbies like crafts and baking. Their strong family values and connection to nature reflect a lifestyle centred in resilience, self-sufficiency, and cultural pride.","$124,175","$544,102",Single Detached / Moveable
V8K 1T9,21,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","$129,387","$1,255,437",Single Detached
V8K 1X4,21,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","$129,387","$1,255,437",Single Detached
V8K 2C3,21,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","$129,387","$1,255,437",Single Detached
V8L 3B1,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8L 5G1,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V8L 5H5,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V8L 5R3,21,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","$129,387","$1,255,437",Single Detached
V8M 1B1,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V8N 1L7,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V8N 1Y4,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V8N 3T8,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V8N 3V1,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
V8N 4E2,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8N 4J5,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V8N 4K4,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V8N 4L2,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V8N 5Y6,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
V8N 6J9,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
V8P 2V6,57,"Younger, urban service sector and blue collar singles | Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","$103,378","$415,686",Mixed
V8P 3W4,23,"Older, urban, middle-income families and couples | Mid-City Mellow is a segment composed mainly of long-term residents, including older couples and middle-aged families, found in city neighbourhoods. They earn stable, mid-level incomes and typically live in single-detached homes, enjoying comfortable lifestyles supported by moderate discretionary spending. Residents often seek opportunities to be active in their communities and are drawn to nearby theatre and sporting events. This segment shows a strong appreciation for community traditions and local engagement, reflecting a steady, grounded lifestyle shaped by familiarity, routine, and cultural connection.","$139,391","$973,823",Single Detached
V8R 1L9,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8R 2H8,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
V8R 3J2,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8R 3M1,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V8R 3T1,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V8R 3W8,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8R 4X7,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8R 6A8,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V8S 1J8,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8S 1S9,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8S 1T2,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8S 1W8,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8S 2J3,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
V8S 3V2,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8S 4A2,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V8S 4M1,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V8S 4R7,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V8S 4S3,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
V8S 4T8,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V8S 4X5,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
V8S 4Z2,51,"Culturally diverse, city seniors in apartment rentals | On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","$85,103","$583,438",Apt 5+
V8S 5C1,53,"Older low-income suburban singles and couples | Silver Flats primarily consists of retirees, with a high proportion of residents over the age of 75. Many live in low-rise apartments and represent a budget-conscious group aiming to make the most of modest incomes, often drawn from pensions and government transfers. Preferring a balance of social and solitary activities, they enjoy affordable leisure pursuits such as reading, crafting, and attending local cultural events. Indoors, they often spend time watching their favourite TV shows or connecting with friends. Their focus on legacy planning and ecological responsibility reflects a thoughtful group deeply rooted in community values, simplicity, and long-term thinking.","$82,197","$508,868",Apartments
V8T 1A7,52,"Young, culturally diverse singles in urban households | Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.","$85,044","$340,098",Apartments
V8T 2C1,32,"Younger and middle-aged, multi-ethnic urban fringe households | Diverse & Determined represents a multicultural segment living on the urban outskirts of major Canadian cities. It includes a mix of younger singles and middle-aged families, many of whom live in multigenerational or lone-parent households. A large percentage of residents identify as visible minorities, and many speak more than one language. This segment combines a strong educational background with mid-level incomes. Housing trends favour low-rise options, such as row houses, apartments, and condos. They value cultural diversity and personal creativity, while also being mindful of affordability in their day-to-day choices. Their leisure time often involves attending sports events, music festivals, and community celebrations, reflecting a vibrant lifestyle grounded in inclusivity and local connection.","$113,747","$568,201",Row / Low Rise Apt
V8U 3G9,,,,,
V8V 2T9,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","$134,144","$988,892",Low Rise Apt / Duplex / Semi
V8V 4B2,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
V8V 4G7,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
